#FILE	NUM_FOUND	Col(BS512)_1	Col(MG828)_1	Col(MP18)_1	Col156_1	Col440II_1	Col440I_1	ColE10_1	ColKP3_1	ColRNAI_1	ColpVC_1	IncA/C2_1	IncFIA(HI1)_1_HI1	IncFIA_1	IncFIB(AP001918)_1	IncFIB(K)_1_Kpn3	IncFIB(Mar)_1_pNDM-Mar	IncFIB(pB171)_1_pB171	IncFIB(pECLA)_1_pECLA	IncFIB(pHCM2)_1_pHCM2	IncFIB(pQil)_1_pQil	IncFIC(FII)_1	IncFII(Yp)_1_Yersenia	IncFII(p14)_1_p14	IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5	IncFII(pECLA)_1_pECLA	IncFII(pKPX1)	IncFII(pRSB107)_1_pRSB107	IncFII(pSE11)_1_pSE11	IncFII_1	IncFII_1_pKP91	IncHI1B_1_pNDM-MAR	IncHI2A_1	IncHI2_1	IncI1_1_Alpha	IncI2_1_Delta	IncI_Gamma_1	IncL/M(pMU407)_1_pMU407	IncL/M(pOXA-48)_1_pOXA-48	IncN2_1	IncN3_1	IncR_1	IncX3_1	IncX4_1	IncY_1	RepA_1_pKPC-CAV1321	p0111_1	pENTAS02_1	pSL483_1
Germany_2019_Kpn-ST78-NDM1.fasta	6	.	.	.	.	.	100	.	.	100	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
UAE1.fasta	6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.
UAE2.fasta	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
UAE3.fasta	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
USA_2017_Kpn-ST78-NDM1.fasta	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
cpe001.nextpolish.fasta	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100;96.09	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
cpe002.nextpolish.fasta	4	.	.	.	.	99.29;99.29	97.37;97.37;99.12;99.12	.	.	92.31;92.31	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
cpe003.nextpolish.fasta	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	96.09	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
cpe004.nextpolish.fasta	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	96.09	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
cpe009.nextpolish.fasta	2	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
