#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
cpe001.nextpolish.fasta	tig00000001_np1212	610517	611116	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100	100	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
cpe001.nextpolish.fasta	tig00000001_np1212	611247	612077	+	blaOXA-1_1	1-831/831	===============	0/0	100	100	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
cpe001.nextpolish.fasta	tig00000001_np1212	1077504	1078364	+	blaSHV-106_1	1-861/861	===============	0/0	100	99.88	resfinder	AM922307	blaSHV-106	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe001.nextpolish.fasta	tig00000001_np1212	2913533	2913952	-	fosA6_1	1-420/433	===============	0/0	97	99.52	resfinder	KU254579	fosA6	Fosfomycin
cpe001.nextpolish.fasta	tig00000001_np1212	3584707	3585180	-	dfrA1_8	1-474/474	===============	0/0	100	100	resfinder	X00926	dfrA1	Trimethoprim
cpe001.nextpolish.fasta	tig00000001_np1212	3735804	3736664	+	aac(3)-IId_1	1-861/861	===============	0/0	100	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
cpe001.nextpolish.fasta	tig00000001_np1212	3742361	3743227	-	blaSHV-187_1	1-867/867	===============	0/0	100	99.54	resfinder	LN515533	blaSHV-187	
cpe001.nextpolish.fasta	tig00000001_np1212	3749951	3750811	-	blaTEM-1A_1	1-861/861	===============	0/0	100	100	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
cpe001.nextpolish.fasta	tig00000001_np1212	3753633	3754508	+	blaCTX-M-15_1	1-876/876	===============	0/0	100	100	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
cpe001.nextpolish.fasta	tig00000001_np1212	4827015	4830167	-	oqxB_1	1-3153/3153	===============	0/0	100	98.8	resfinder	EU370913	oqxB	Nalidixic_acid;Ciprofloxacin
