locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHAGGBBM_00001	gene	1335	dnaA			
KHAGGBBM_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KHAGGBBM_00002	gene	1101	dnaN			
KHAGGBBM_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
KHAGGBBM_00003	gene	1074	recF			
KHAGGBBM_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
KHAGGBBM_00004	gene	2415	gyrB			
KHAGGBBM_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
KHAGGBBM_00005	gene	813	yidA			
KHAGGBBM_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
KHAGGBBM_00006	gene	1062				
KHAGGBBM_00006	CDS	1062				hypothetical protein
KHAGGBBM_00007	gene	1134				
KHAGGBBM_00007	CDS	1134				hypothetical protein
KHAGGBBM_00008	gene	690	lutR			
KHAGGBBM_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
KHAGGBBM_00009	gene	879	dgoK1_1			
KHAGGBBM_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
KHAGGBBM_00010	gene	618	dgoA_1			
KHAGGBBM_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
KHAGGBBM_00011	gene	1149	dgoD			
KHAGGBBM_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
KHAGGBBM_00012	gene	1293	dgoT_1			
KHAGGBBM_00012	CDS	1293	dgoT_1			D-galactonate transporter
KHAGGBBM_00013	gene	1227				
KHAGGBBM_00013	CDS	1227				hypothetical protein
KHAGGBBM_00014	gene	333				
KHAGGBBM_00014	CDS	333				hypothetical protein
KHAGGBBM_00015	gene	414	ibpA			
KHAGGBBM_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
KHAGGBBM_00016	gene	429	ibpB_1			
KHAGGBBM_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
KHAGGBBM_00017	gene	825				
KHAGGBBM_00017	CDS	825				hypothetical protein
KHAGGBBM_00018	gene	1662	aspT_1			
KHAGGBBM_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
KHAGGBBM_00019	gene	747	mngR_1			
KHAGGBBM_00019	CDS	747	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
KHAGGBBM_00020	gene	1623	malP_1			
KHAGGBBM_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
KHAGGBBM_00021	gene	1323	aglB			
KHAGGBBM_00021	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
KHAGGBBM_00022	gene	348	yidH			
KHAGGBBM_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
KHAGGBBM_00023	gene	363	yidG			
KHAGGBBM_00023	CDS	363	yidG			Inner membrane protein YidG
KHAGGBBM_00024	gene	501				
KHAGGBBM_00024	CDS	501				hypothetical protein
KHAGGBBM_00025	gene	1329	dsdA			
KHAGGBBM_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
KHAGGBBM_00026	gene	1338	dsdX			
KHAGGBBM_00026	CDS	1338	dsdX			D-serine transporter DsdX
KHAGGBBM_00027	gene	924	dsdC_1			
KHAGGBBM_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
KHAGGBBM_00028	gene	1185	emrD			
KHAGGBBM_00028	CDS	1185	emrD			Multidrug resistance protein D
KHAGGBBM_00029	gene	834				
KHAGGBBM_00029	CDS	834				hypothetical protein
KHAGGBBM_00030	gene	447				
KHAGGBBM_00030	CDS	447				hypothetical protein
KHAGGBBM_00031	gene	90				
KHAGGBBM_00031	CDS	90				hypothetical protein
KHAGGBBM_00032	gene	96				
KHAGGBBM_00032	CDS	96				hypothetical protein
KHAGGBBM_00033	gene	1689	ilvB			
KHAGGBBM_00033	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
KHAGGBBM_00034	gene	288	ilvN			
KHAGGBBM_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
KHAGGBBM_00035	gene	594	uhpA			
KHAGGBBM_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
KHAGGBBM_00036	gene	1503	uhpB			
KHAGGBBM_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
KHAGGBBM_00037	gene	1329	uhpC			
KHAGGBBM_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
KHAGGBBM_00038	gene	1392	uhpT			
KHAGGBBM_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
KHAGGBBM_00039	gene	453				
KHAGGBBM_00039	CDS	453				hypothetical protein
KHAGGBBM_00040	gene	324				
KHAGGBBM_00040	CDS	324				hypothetical protein
KHAGGBBM_00041	gene	360				
KHAGGBBM_00041	CDS	360				hypothetical protein
KHAGGBBM_00042	gene	1194	nepI_1			
KHAGGBBM_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
KHAGGBBM_00043	gene	810	phnX			
KHAGGBBM_00043	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
KHAGGBBM_00044	gene	1104	phnW			
KHAGGBBM_00044	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
KHAGGBBM_00045	gene	720	phnR			
KHAGGBBM_00045	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
KHAGGBBM_00046	gene	1014	phnS			
KHAGGBBM_00046	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
KHAGGBBM_00047	gene	1113	phnT			
KHAGGBBM_00047	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
KHAGGBBM_00048	gene	861	phnU			
KHAGGBBM_00048	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
KHAGGBBM_00049	gene	798	phnV			
KHAGGBBM_00049	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
KHAGGBBM_00050	gene	1380	lamB_1			
KHAGGBBM_00050	CDS	1380	lamB_1		COG4580	Maltoporin
KHAGGBBM_00051	gene	303	chbA_1			
KHAGGBBM_00051	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
KHAGGBBM_00052	gene	1323	licC_1			
KHAGGBBM_00052	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
KHAGGBBM_00053	gene	315	celA_1			
KHAGGBBM_00053	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
KHAGGBBM_00054	gene	945	ascG_1			
