Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
cpe109	NA	1	423633	424775	-	blaACT-17	cephalosporin-hydrolyzing class C beta-lactamase ACT-17	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100	100	381	WP_017694683.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-17	NA	NA
cpe109	NA	1	576076	576498	+	fosA	FosA/FosA2 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	141	141	100	95.74	141	WP_038415208.1	fosfomycin resistance glutathione transferase FosA	NA	NA
cpe109	NA	1	1444949	1447120	+	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	724	725	100	95.03	725	AAN76093.1	siderophore salmochelin receptor IroN	NA	NA
cpe109	NA	1	1449554	1453198	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1215	1219	99.75	90.62	1216	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
cpe109	NA	1	1453343	1454455	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100	92.99	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
cpe109	NA	1	3463059	3466208	-	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	1050	1050	100	96.38	1050	WP_012967412.1	multidrug efflux RND transporter permease subunit OqxB9	NA	NA
cpe109	NA	1	3466235	3467407	-	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTX	391	391	100	91.3	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NA	NA
cpe109	NA	1	4460901	4461332	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100	92.36	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
cpe109	NA	1	4461553	4462950	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTX	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
cpe109	NA	1	4462950	4463627	-	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
