#FILE	NUM_FOUND	ARR-3_4	aac(3)-IIa_1	aac(3)-IId_1	aac(3)-Ia_1	aac(6')-29a_1	aac(6')-29b_1	aac(6')-IIc_1	aac(6')-Iaf_1	aac(6')-Ib-cr_1	aac(6')-Ib_1	aac(6')-Ic_1	aadA13_1	aadA16_1	aadA2_1	aadA5_1	aadA6_1	ant(2'')-Ia_1	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-IIb_1	aph(3')-IIb_2	aph(3')-IIc_1	aph(3')-Ia_1	aph(3')-Ia_7	aph(3')-VI_1	aph(3')-VIa_1	aph(3')-VIb_1	aph(6)-Id_1	armA_1	blaACT-5_1	blaACT-6_1	blaACT-7_1	blaADC-25_1	blaCMY-2_1	blaCMY-42_1	blaCMY-48_1	blaCMY-66_1	blaCMY-6_1	blaCTX-M-14b_1	blaCTX-M-15_1	blaCTX-M-1_1	blaCTX-M-55_1	blaDHA-1_1	blaIMI-2_1	blaIMP-15_1	blaIMP-1_1	blaIMP-70_1	blaKPC-3_1	blaL1_3	blaMIR-1_1	blaNDM-1_1	blaNDM-5_1	blaNDM-6_1	blaOKP-B-16_1	blaOXA-10_1	blaOXA-181_1	blaOXA-1_1	blaOXA-232_1	blaOXA-23_1	blaOXA-2_1	blaOXA-421_1	blaOXA-488_1	blaOXA-48_1	blaOXA-494_1	blaOXA-50_1	blaOXA-64_1	blaOXA-66_1	blaOXA-72_1	blaOXA-78_1	blaOXA-91_1	blaOXA-9_1	blaOXY-2-2_2	blaOXY-6-4_4	blaPAO_1	blaPAO_2	blaPAO_4	blaPLA1a_1	blaSHV-106_1	blaSHV-119_1	blaSHV-11_1	blaSHV-12_1	blaSHV-182_1	blaSHV-187_1	blaSHV-190_1	blaSHV-26_1	blaSRT-1_1	blaTEM-1A_1	blaTEM-1B_1	blaTEM-1C_1	blaTEM-1D_1	blaVEB-1_1	blaVIM-36_1	blaVIM-47_1	blaVIM-5_1	catA1_1	catB3_2	catB7_1	catB8_1	cmlA1_1	crpP_1	dfrA12_8	dfrA14_5	dfrA17_1	dfrA1_8	dfrA27_1	dfrA5_1	dfrA7_5	dfrB2_2	ere(A)_2	erm(42)_2	erm(B)_18	floR_2	fosA5_1	fosA6_1	fosA_1	fosA_2	fosA_3	fosA_4	fosA_5	fosA_6	fosA_7	mcr-9_1	mdf(A)_1	mph(A)_2	mph(E)_1	msr(E)_1	oqxA_1	oqxB_1	qepA1_1	qepA4_1	qnrA1_1	qnrB1_1	qnrB32_1	qnrB35_1	qnrB4_1	qnrE1_1	qnrS1_1	rmtB_1	rmtC_1	rmtF_1	sul1_5	sul1_9	sul2_2	sul2_3	sul3_2	tet(A)_6	tet(B)_1	tet(B)_2	tet(D)_1	tet(G)_2	tet(M)_4
UAE1.fasta	18	.	.	100	.	.	.	.	.	100	.	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
UAE2.fasta	18	.	.	100	.	.	.	.	.	100	.	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
UAE3.fasta	20	.	.	100	.	.	.	.	.	100	.	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.
Germany_2019_Kpn-ST78-NDM1.fasta	18	.	.	100	.	.	.	.	.	100	.	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
USA_2017_Kpn-ST78-NDM1.fasta	23	.	.	100;100	.	.	.	.	.	100;97.83	96.86	.	.	.	97.92;97.92	.	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	86.64	.	.	.	100	.	.	.	97.68;100	.	.	.	.	.	.	.	.	.	.	.	.	.	100;100	100;100	.	100;100	.	.	.	.	.	.	.	.	.	97;97	.	.	.	.	.	.	.	.	.	.	100;100	100;100	100;100	100;100	.	.	.	100;100	.	.	.	.	.	.	.	.	100;98.5;98.5	.	.	.	.	.	.	.	100;100	.	.
cpe001.nextpolish.fasta	23	.	.	100	.	.	.	.	.	100;100	100	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	100;100;100;100;100;100	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	100	.	.
cpe002.nextpolish.fasta	9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	82.3	.	.	.	.	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	98.95	.	.	100	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.
cpe003.nextpolish.fasta	23	.	.	100	.	.	.	.	.	100;100	100	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100;100	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.
cpe004.nextpolish.fasta	23	.	.	100	.	.	.	.	.	100;100	100	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	.	100	.	.	.	.	.	.	.	.	.	97	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.
cpe005.nextpolish.fasta	5	.	.	.	.	.	.	.	.	.	92.41	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100;100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.
