#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
cpe001.nextpolish.fasta	tig00000001_np1212	423702	424109	-	H-NS	1-405/414	========/======	01-Mar	97.83	86.77	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
cpe001.nextpolish.fasta	tig00000001_np1212	610517	611116	+	AAC(6')-Ib-cr	1-600/600	===============	0/0	100	100	card	DQ303918:0-600	AAC(6')-Ib-cr is an aminoglycoside acetyltransferase encoded by plasmids transposons integrons in Enterobacteriaceae. The aac(6')-Ib-cr variant gene can induce resistance against aminoglycoside and fluoroquinolone simultaneously	aminoglycoside;fluoroquinolone
cpe001.nextpolish.fasta	tig00000001_np1212	611247	612077	+	OXA-1	1-831/831	===============	0/0	100	100	card	JN420336.1:2230-1399	OXA-1 is a beta-lactamase found in E. coli	cephalosporin;penam
cpe001.nextpolish.fasta	tig00000001_np1212	1057028	1057396	+	marA	1-369/384	===============	0/0	96.09	81.3	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
cpe001.nextpolish.fasta	tig00000001_np1212	1077504	1078364	+	SHV-106	1-861/861	===============	0/0	100	99.88	card	AM941847:0-861	SHV-106 is an extended-spectrum beta-lactamase that has been found in clinical isolates.	carbapenem;cephalosporin;penam
cpe001.nextpolish.fasta	tig00000001_np1212	1118395	1118724	-	Klebsiella_pneumoniae_KpnF	1-330/330	===============	0/0	100	99.09	card	AP006725.1:2484238-2484568	KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan.	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
cpe001.nextpolish.fasta	tig00000001_np1212	1118711	1119073	-	Klebsiella_pneumoniae_KpnE	1-363/363	===============	0/0	100	100	card	AP006725.1:2483889-2484252	KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
cpe001.nextpolish.fasta	tig00000001_np1212	1246325	1247449	+	Klebsiella_pneumoniae_OmpK37	1-1125/1125	===============	0/0	100	99.73	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
cpe001.nextpolish.fasta	tig00000001_np1212	1784002	1785750	-	msbA	1-1749/1749	===============	0/0	100	80.62	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
cpe001.nextpolish.fasta	tig00000001_np1212	2213581	2213934	-	ramA	21-375/375	========/======	01-Jan	94.4	81.69	card	JQ727668:0-375	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
