#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
cpe001.nextpolish.fasta	tig00000003_np1212	28158	28395	+	IncFII_1_pKP91	1-230/230	========/======	03-Aug	100	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe001.nextpolish.fasta	tig00000003_np1212	90484	91043	+	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100	100	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
cpe001.nextpolish.fasta	tig00000004_np1212	41674	41894	-	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
cpe001.nextpolish.fasta	tig00000008_np1212	40626	41195	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100	100	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
cpe001.nextpolish.fasta	tig00000008_np1212	142780	143218	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
cpe002.nextpolish.fasta	tig00000003_np1212	755	865	-	Col440I_1	1-111/114	===============	0/0	97.37	92.79	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe002.nextpolish.fasta	tig00000003_np1212	3176	3286	-	Col440I_1	1-111/114	===============	0/0	97.37	92.79	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe002.nextpolish.fasta	tig00000004_np1212	419	701	-	Col440II_1	2-281/282	========/======	01-Mar	99.29	82.69	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
cpe002.nextpolish.fasta	tig00000004_np1212	3784	3896	-	Col440I_1	1-113/114	===============	0/0	99.12	90.27	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe002.nextpolish.fasta	tig00000004_np1212	4515	4797	-	Col440II_1	2-281/282	========/======	01-Mar	99.29	82.69	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
cpe002.nextpolish.fasta	tig00000004_np1212	7880	7992	-	Col440I_1	1-113/114	===============	0/0	99.12	90.27	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
cpe002.nextpolish.fasta	tig00000005_np1212	2954	3075	+	ColRNAI_1	11-130/130	.=======/======	02-Feb	92.31	85.25	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe002.nextpolish.fasta	tig00000005_np1212	6126	6247	+	ColRNAI_1	11-130/130	.=======/======	02-Feb	92.31	85.25	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
cpe002.nextpolish.fasta	tig00000006_np1212	80432	80848	-	IncA/C2_1	1-417/417	===============	0/0	100	100	plasmidfinder	JN157804	IncA/C2_1__JN157804	
